Year,State,Total Population,Median Age,Household Income,Per Capita Income,Total Employed Civilians,Total Unemployed Civilians,Total People in the Military,Total Population in Poverty
2016,Rhode Island,1054491,213.2,334974.0,183908.0,520482.0,43600.0,3203.0,140161.0
2016,South Carolina,4834605,1869.9,1880305.0,1016872.0,2129323.0,194454.0,30595.0,806422.0
2016,South Dakota,851058,2682.8,3219729.0,1729819.0,434693.0,18636.0,2607.0,115300.0
2016,Tennessee,6548009,3964.3,3932447.0,2106259.0,2937131.0,238372.0,17933.0,1100169.0
2016,Texas,26956435,9897.6,12202113.0,6115446.0,12371392.0,848131.0,92754.0,4397307.0
2016,Utah,2948427,987.8,1643695.0,677260.0,1374146.0,73114.0,4079.0,338808.0
2016,Vermont,626249,619.4,753918.0,410167.0,327237.0,17087.0,406.0,69673.0
2016,Virginia,8310301,5529.7,7192429.0,3694926.0,4036456.0,255340.0,111328.0,921664.0
2016,Washington,7073146,1626.7,2022530.0,1035369.0,3331321.0,244692.0,47291.0,883256.0
2016,West Virginia,1846092,2392.0,2219894.0,1219077.0,750412.0,61215.0,853.0,318060.0
2016,Wisconsin,5754798,3098.4,3737440.0,1956409.0,2910339.0,169426.0,2421.0,713472.0
2016,Wyoming,583029,915.7,1312383.0,680458.0,293598.0,15118.0,2388.0,65762.0
2017,Alabama,4850771,2710.1,2698184.0,1486093.0,2055509.0,165391.0,12309.0,849699.0
2017,Alaska,738565,1071.4,1926338.0,918446.0,354045.0,29548.0,17029.0,73380.0
2017,Arizona,6809946,599.0,687250.0,340683.0,2953891.0,225911.0,17314.0,1128046.0
2017,Arkansas,2977944,3099.8,2926881.0,1608698.0,1276536.0,85128.0,4438.0,524211.0
2017,California,38982847,2289.5,3540712.0,1764156.0,17993915.0,1491146.0,127716.0,5773408.0
2017,Colorado,5436519,2705.7,3478628.0,1897411.0,2760076.0,152856.0,33422.0,612143.0
2017,Connecticut,3594478,332.6,595968.0,315353.0,1805086.0,140712.0,8566.0,350783.0
